aqua
blue
fuchsia
gray
green
lime
maroon
navy
olive
purple
silver
teal
white
yellow
crimson
darkgoldenrod
darkblue
chocolate
darkgreen
darkred
darkorange
deppskyblue
darkbiolet
hotpink
lawngreen
lightsalmon
